timestamp,Root/Objects/PLC/Modules/<Default>/TestIO/kaka
2025-03-03 15:26:31.223,379492
2025-03-03 15:26:31.337,379528
2025-03-03 15:26:31.445,379560
2025-03-03 15:26:31.551,379586
2025-03-03 15:26:31.662,379622
