timestamp,Root/Objects/PLC/Modules/<Default>/TestIO/kaka,Root/Objects/PLC/Modules/<Default>/TestIO/pipa
2025-03-03 15:46:12.581,Error: [WinError 10053] An established connection was aborted by the software in your host machine,Error: [WinError 10053] An established connection was aborted by the software in your host machine
2025-03-03 15:46:13.080,Error: [WinError 10053] An established connection was aborted by the software in your host machine,Error: [WinError 10053] An established connection was aborted by the software in your host machine
2025-03-03 15:46:13.580,Error: [WinError 10053] An established connection was aborted by the software in your host machine,Error: [WinError 10053] An established connection was aborted by the software in your host machine
2025-03-03 15:46:14.081,Error: [WinError 10053] An established connection was aborted by the software in your host machine,Error: [WinError 10053] An established connection was aborted by the software in your host machine
2025-03-03 15:46:14.581,Error: [WinError 10053] An established connection was aborted by the software in your host machine,Error: [WinError 10053] An established connection was aborted by the software in your host machine
