timestamp,Root/Objects/PLC/Modules/<Default>/TestIO/kaka
2025-03-04 13:40:28.361,644314
2025-03-04 13:40:28.472,644346
2025-03-04 13:40:28.582,644378
2025-03-04 13:40:28.694,644408
2025-03-04 13:40:28.807,644440
