timestamp,jopa
2025-03-04 01:33:15.207,371693
2025-03-04 01:33:15.316,371711
2025-03-04 01:33:15.425,371727
2025-03-04 01:33:15.537,371743
2025-03-04 01:33:15.641,371759
2025-03-04 01:33:15.756,371776
2025-03-04 01:33:15.865,371792
2025-03-04 01:33:15.972,371806
2025-03-04 01:33:16.085,371824
2025-03-04 01:33:16.192,371840
2025-03-04 01:33:16.306,371856
2025-03-04 01:33:16.409,371872
2025-03-04 01:33:16.524,371889
2025-03-04 01:33:16.626,371904
2025-03-04 01:33:16.742,371921
2025-03-04 01:33:16.844,371935
2025-03-04 01:33:16.954,371952
2025-03-04 01:33:17.068,371969
2025-03-04 01:33:17.175,371985
2025-03-04 01:33:17.288,372001
2025-03-04 01:33:17.393,372017
2025-03-04 01:33:17.503,372033
2025-03-04 01:33:17.614,372050
2025-03-04 01:33:17.725,372066
2025-03-04 01:33:17.847,372084
2025-03-04 01:33:17.942,372098
2025-03-04 01:33:18.059,372115
2025-03-04 01:33:18.158,372129
2025-03-04 01:33:18.275,372147
2025-03-04 01:33:18.387,372163
2025-03-04 01:33:18.487,372179
2025-03-04 01:33:18.600,372195
2025-03-04 01:33:18.709,372211
2025-03-04 01:33:18.823,372228
2025-03-04 01:33:18.925,372243
2025-03-04 01:33:19.042,372261
2025-03-04 01:33:19.142,372275
2025-03-04 01:33:19.259,372293
2025-03-04 01:33:19.370,372308
2025-03-04 01:33:19.471,372324
2025-03-04 01:33:19.580,372340
2025-03-04 01:33:19.691,372357
2025-03-04 01:33:19.807,372373
2025-03-04 01:33:19.909,372389
2025-03-04 01:33:20.046,372408
2025-03-04 01:33:20.127,372421
2025-03-04 01:33:20.242,372438
2025-03-04 01:33:20.344,372452
2025-03-04 01:33:20.459,372470
2025-03-04 01:33:20.567,372486
2025-03-04 01:33:20.675,372501
2025-03-04 01:33:20.789,372519
2025-03-04 01:33:20.892,372535
2025-03-04 01:33:21.002,372551
2025-03-04 01:33:21.112,372566
2025-03-04 01:33:21.225,372584
2025-03-04 01:33:21.335,372600
2025-03-04 01:33:21.440,372616
2025-03-04 01:33:21.549,372631
2025-03-04 01:33:21.659,372647
2025-03-04 01:33:21.772,372663
2025-03-04 01:33:21.877,372679
2025-03-04 01:33:21.991,372697
2025-03-04 01:33:22.103,372712
2025-03-04 01:33:22.205,372728
2025-03-04 01:33:22.324,372746
2025-03-04 01:33:22.426,372760
2025-03-04 01:33:22.543,372778
2025-03-04 01:33:22.642,372793
2025-03-04 01:33:22.757,372809
2025-03-04 01:33:22.860,372825
2025-03-04 01:33:22.976,372842
2025-03-04 01:33:23.091,372860
2025-03-04 01:33:23.192,372874
2025-03-04 01:33:23.310,372891
2025-03-04 01:33:23.409,372906
2025-03-04 01:33:23.525,372923
2025-03-04 01:33:23.626,372938
2025-03-04 01:33:23.738,372955
2025-03-04 01:33:23.849,372970
2025-03-04 01:33:23.958,372988
2025-03-04 01:33:24.072,373003
2025-03-04 01:33:24.176,373020
2025-03-04 01:33:24.282,373034
2025-03-04 01:33:24.392,373051
2025-03-04 01:33:24.509,373069
2025-03-04 01:33:24.611,373083
2025-03-04 01:33:24.721,373100
2025-03-04 01:33:24.831,373115
2025-03-04 01:33:24.941,373131
2025-03-04 01:33:25.048,373147
2025-03-04 01:33:25.159,373164
2025-03-04 01:33:25.266,373179
2025-03-04 01:33:25.379,373197
2025-03-04 01:33:25.489,373213
2025-03-04 01:33:25.599,373228
2025-03-04 01:33:25.709,373246
2025-03-04 01:33:25.816,373262
2025-03-04 01:33:25.925,373278
2025-03-04 01:33:26.035,373293
2025-03-04 01:33:26.143,373309
2025-03-04 01:33:26.255,373327
2025-03-04 01:33:26.372,373343
2025-03-04 01:33:26.474,373358
2025-03-04 01:33:26.586,373375
2025-03-04 01:33:26.692,373390
2025-03-04 01:33:26.799,373405
2025-03-04 01:33:26.909,373421
2025-03-04 01:33:27.017,373439
2025-03-04 01:33:27.129,373455
2025-03-04 01:33:27.237,373470
2025-03-04 01:33:27.351,373488
2025-03-04 01:33:27.460,373504
2025-03-04 01:33:27.571,373520
2025-03-04 01:33:27.676,373536
2025-03-04 01:33:27.789,373552
2025-03-04 01:33:27.893,373568
2025-03-04 01:33:28.008,373584
2025-03-04 01:33:28.114,373600
2025-03-04 01:33:28.221,373616
2025-03-04 01:33:28.336,373634
2025-03-04 01:33:28.439,373648
2025-03-04 01:33:28.549,373665
2025-03-04 01:33:28.659,373681
2025-03-04 01:33:28.776,373698
2025-03-04 01:33:28.885,373714
2025-03-04 01:33:28.993,373730
2025-03-04 01:33:29.095,373746
2025-03-04 01:33:29.209,373762
2025-03-04 01:33:29.320,373779
2025-03-04 01:33:29.426,373795
2025-03-04 01:33:29.533,373811
2025-03-04 01:33:29.642,373826
2025-03-04 01:33:29.751,373842
2025-03-04 01:33:29.866,373860
2025-03-04 01:33:29.973,373875
2025-03-04 01:33:30.082,373891
2025-03-04 01:33:30.189,373907
2025-03-04 01:33:30.299,373923
2025-03-04 01:33:30.408,373940
2025-03-04 01:33:30.518,373955
2025-03-04 01:33:30.629,373973
2025-03-04 01:33:30.740,373989
2025-03-04 01:33:30.848,374004
2025-03-04 01:33:30.957,374021
2025-03-04 01:33:31.065,374037
2025-03-04 01:33:31.176,374053
2025-03-04 01:33:31.284,374068
2025-03-04 01:33:31.393,374086
2025-03-04 01:33:31.504,374101
2025-03-04 01:33:31.614,374117
2025-03-04 01:33:31.724,374135
2025-03-04 01:33:31.833,374150
2025-03-04 01:33:31.941,374166
2025-03-04 01:33:32.049,374182
2025-03-04 01:33:32.159,374198
2025-03-04 01:33:32.268,374214
2025-03-04 01:33:32.376,374231
2025-03-04 01:33:32.487,374247
2025-03-04 01:33:32.596,374263
2025-03-04 01:33:32.707,374278
2025-03-04 01:33:32.816,374296
2025-03-04 01:33:32.926,374312
2025-03-04 01:33:33.033,374328
2025-03-04 01:33:33.143,374344
2025-03-04 01:33:33.253,374360
2025-03-04 01:33:33.362,374376
2025-03-04 01:33:33.476,374392
2025-03-04 01:33:33.582,374408
2025-03-04 01:33:33.690,374424
2025-03-04 01:33:33.808,374442
2025-03-04 01:33:33.909,374456
2025-03-04 01:33:34.026,374474
2025-03-04 01:33:34.140,374490
2025-03-04 01:33:34.243,374506
2025-03-04 01:33:34.360,374523
2025-03-04 01:33:34.457,374537
2025-03-04 01:33:34.565,374553
2025-03-04 01:33:34.674,374569
2025-03-04 01:33:34.783,374585
2025-03-04 01:33:34.893,374602
2025-03-04 01:33:35.005,374619
2025-03-04 01:33:35.112,374634
2025-03-04 01:33:35.227,374651
2025-03-04 01:33:35.345,374669
2025-03-04 01:33:35.443,374683
2025-03-04 01:33:35.560,374700
2025-03-04 01:33:35.660,374716
2025-03-04 01:33:35.776,374732
2025-03-04 01:33:35.891,374749
2025-03-04 01:33:35.993,374764
2025-03-04 01:33:36.109,374782
2025-03-04 01:33:36.210,374796
2025-03-04 01:33:36.327,374814
2025-03-04 01:33:36.427,374829
2025-03-04 01:33:36.533,374845
2025-03-04 01:33:36.643,374861
2025-03-04 01:33:36.760,374878
2025-03-04 01:33:36.877,374895
2025-03-04 01:33:36.977,374910
2025-03-04 01:33:37.095,374927
2025-03-04 01:33:37.193,374941
2025-03-04 01:33:37.310,374959
2025-03-04 01:33:37.410,374973
2025-03-04 01:33:37.522,374990
2025-03-04 01:33:37.628,375006
2025-03-04 01:33:37.738,375022
2025-03-04 01:33:37.848,375039
2025-03-04 01:33:37.956,375054
2025-03-04 01:33:38.068,375070
2025-03-04 01:33:38.177,375087
2025-03-04 01:33:38.286,375103
2025-03-04 01:33:38.394,375119
2025-03-04 01:33:38.504,375135
2025-03-04 01:33:38.613,375151
2025-03-04 01:33:38.722,375167
